,ghi,dni,dhi
2020-06-19 06:00:00-06:00,0.4024838186840182,0.0,0.4024838186840182
2020-06-19 07:00:00-06:00,118.66493191267138,264.0645458862668,65.27205665577794
2020-06-19 08:00:00-06:00,321.1981582471067,567.0565083277985,95.80945931182106
2020-06-19 09:00:00-06:00,523.9464007620754,698.8918552668126,117.74713082399785
2020-06-19 10:00:00-06:00,703.2018203023536,728.3144039902901,163.6090784188532
2020-06-19 11:00:00-06:00,844.1900002834817,724.5319170273875,217.0245495185858
2020-06-19 12:00:00-06:00,936.3639366778339,712.4486247293908,261.73673879807427
2020-06-19 13:00:00-06:00,973.0565118124782,705.8073557092096,281.9044566360442
2020-06-19 14:00:00-06:00,951.6490313423708,709.8021123376542,269.96884731324235
2020-06-19 15:00:00-06:00,873.6676488763707,721.4189783015519,230.42726716533514
2020-06-19 16:00:00-06:00,744.7270036408422,729.2596939735046,177.59944319834585
2020-06-19 17:00:00-06:00,574.3558968611901,712.0512750076595,128.4150582893477
2020-06-19 18:00:00-06:00,376.0828794782425,621.0456232313923,98.0097693230473
2020-06-19 19:00:00-06:00,169.98629566566032,372.74797513961306,75.21131461308669
2020-06-19 20:00:00-06:00,10.992214296138075,0.0,10.992214296138075
2020-06-19 21:00:00-06:00,0.0,0.0,0.0
2020-06-19 22:00:00-06:00,0.0,0.0,0.0
2020-06-19 23:00:00-06:00,0.0,0.0,0.0
